"Recreation","72"
"Road safety","72"
"Government policy","71"
"Prices","71"
"Railways","71"
"Purges","70"
"Training","70"
"Youth housing","70"
"Chemical weapons","68"
"Liberation","68"
"Agricultural workers","68"
"Youth movements","67"
"Food","67"
"Young workers","66"
"Women's labour","66"
"Jews","66"
"Girls","65"
"Economic crises","65"
"Vocational education","65"
"Speculation","63"
"PTT","63"
"Higher education","63"
"Reconstruction","63"
"Clothes","62"
"Fundamentalism","62"
"Dismissals","60"
"Moroccans","58"
"Work permit","58"
"Nationalism","57"
"Economic relations","57"
"Secondary education","56"
"Advertising","56"
"National socialism","56"
"War damage","54"
"Arms industry","54"
"Environmentally sound businesses","53"
"Constitutional law","53"
"Colonial policy","53"
"Docks","52"
"Technology","52"
"War crimes","51"
"Student facilities","50"
"Space travel","50"
"Dangerous goods","50"
"Youth centres","49"
"Ethnic groups","49"
"Child care","48"
"Reunification","48"
"Famine","47"
"Public loans","47"
"Local politics","47"
"Trade policy","47"
"Energy prices","47"
"History","46"
"Workers' control","46"
"Foreign relations","46"
"Preservatives","46"
"Universal suffrage","46"
"Population policy","45"
"Distribution","45"
"Labour","44"
"Political parties","44"
"Popular education","44"
"Workers","44"
"Foreign intervention","43"
"Governments","43"
"Legal aid","42"
"Factory farming","42"
"Water pollution","42"
"Consumer society","42"
"Water supply","42"
"Steel industry","42"
"War toys","41"
"Poverty","41"
"Standards and values","41"
"Child labour","40"
"Parliament","40"
"Soviet Republics","40"
"Arms trade","40"
"Hydraulic engineering","40"
"Closing-down of companies","40"
"Banking","40"
"Building industry","39"
"Family","39"
"Child molestation","39"
"Nurseries","38"
"Aged","38"
"Coffee","38"
"Suffrage","38"
"Unemployment insurance","38"
"Legislation","38"
"Tourism","38"
"Labour movement","38"
"Navy","38"
"Aviation","38"
"Gypsies","37"
"Agricultural policy","37"
"Venereal disease","37"
"Resistance","37"
"May 1968","37"
"Food shortage","37"
"Foreign policy","37"
"Foreign aid","36"
"Gay and lesbian movement","36"
"Nationalization","36"
"Marxism","36"
"Anti-clericalism","36"
"Lesbianism","36"
"Self-government","36"
"Nonviolence","35"
"War economy","35"
"State of emergency","35"
"Soil pollution","35"
"Terrorism","35"
"Marriage","34"
"Men's liberation","34"
"Rebellions","34"
"Caravan-dwellers","34"
"Disablement insurance","33"
"Democracy","33"
"Social movements","32"
"Voluntary work","32"
"Cattle-breeding","32"
"Land reform","32"
"Women's culture","31"
"Textile industry","31"
"Broadcasting","31"
"Collections","31"
"Public finance","31"
"Fishing","31"
"Co-operatives","30"
"Shipbuilding","30"
"Freedom of the press","30"
"Press","29"
"Bureaucracy","29"
"Wind energy","29"
"Imperialism","29"
"Landed ownership","29"
"Republics","29"
"Natural disasters","29"
"Freedom of association","28"
"Disabled","28"
"Surinamers","28"
"Government","28"
"Esperanto","28"
"Anti-Semitism","27"
"Vegetarianism","27"
"Lawsuits","27"
"Russian Revolution October 1917","27"
"Social services","27"
"Artists","26"
"Miners","26"
"Clothing industry","26"
"Writers","26"
"Employment finding","26"
"Civil wars","26"
"Right to strike","25"
"Revolution","25"
"Meditation","25"
"Referenda","25"
"Medical insurance","24"
"Trade","24"
"Coups d'etat","24"
"Anti-globalism","24"
"Moluccans","24"
"Mobilization","24"
"Nuclear tests","23"
"Spanish Civil War","23"
"Dictatorships","23"
"Prostitution","23"
"Anarcho-syndicalism","23"
"Opera","23"
"Sit-in strikes","22"
"Ideology","22"
"Political cartoons","22"
"Minimum wages","22"
"Factory workers","22"
"Noise pollution","21"
"Hotel and catering industry","21"
"Civil servants","21"
"Printing business","20"
"Feminism","20"
"Fruit","20"
"Social inequality","20"
"Building workers","20"
"Industrialization","19"
"Tuberculosis","19"
"Military dictatorships","19"
"Food supply","19"
"Minorities policy","19"
"Community centres","19"
"Tobacco","19"
"Metal industry","19"
"Recruitment of personnel","19"
"Third World movement","18"
"Pacifism","18"
"Mural painting","18"
"Prisoners of war","18"
"Television","18"
"Primary education","18"
"Household work","18"
"Cancer","18"
"Forestry","17"
"Information and communication technology","17"
"Islam","17"
"Women's suffrage","17"
"Class struggle","17"
"Monetary matters","17"
"Civil rights","17"
"Collectivization","17"
"Law","16"
"Retail trade","16"
"Voluntary armed forces","16"
"Individualization","16"
"Roman Catholic church","16"
"Fashion","16"
"Market places","16"
"Motherhood","16"
"Revolution 1918","15"
"Journalists","15"
"Anti-communism","15"
"Holiday camps","15"
"Car industry","15"
"Disease","14"
"Tramways","14"
"Socialization","14"
"Hotel workers","14"
"Labour relations","14"
"Mechanization","14"
"Energy companies","14"
"Churches","14"
"Railway employees","14"
"Sweets","14"
"Republicanism","13"
"Cotton","13"
"Automation","13"
"Textile workers","13"
"Road-building","13"
"Negro emancipation","13"
"Decolonization","13"
"Environmental policy","13"
"Solar energy","13"
"Pornography","13"
"Role patterns","13"
"Rural population","13"
"Emancipation","12"
"Immigration policy","12"
"Infrastructure","12"
"Petroleum industry","12"
"Paris Commune","12"
"Turks","12"
"Vivisection","12"
"Civil engineering","12"
"Sexism","12"
"War reparations","12"
"Language conflict","12"
"Oil crises","12"
"Care for the aged","12"
"Revolutions","11"
"Agriculture","11"
"Borough council elections","11"
"Tenancy","11"
"Emigration","11"
"Cane sugar","11"
"Roman Catholicism","11"
"Naturopathy","11"
"Living boats","11"
"Graphic industry","11"
"Living conditions","11"
"Metal workers","11"
"Food","11"
"Capitalism","11"
"Dairy products","10"
"Petrol companies","10"
"Trotskyism","10"
"Electoral system","10"
"Work at home","10"
"Organization","10"
"Market-gardening","10"
"Food industry","10"
"Black market","10"
"Petroleum extraction","9"
"Men","9"
"Acid rain","9"
"Pubs","9"
"Intelligence agencies","9"
"Peace conditions","9"
"Labour agreements","9"
"Shipping","9"
"Dock-workers","9"
"Philosophy","9"
"Corruption","8"
"Social democracy","8"
"Humanism","8"
"Shop assistants","8"
"Employment projects","8"
"Financial policy","8"
"Street scenes","8"
"Privatization","8"
"Persecution of the Jews","8"
"Insurance business","8"
"Anarcho-feminism","8"
"Chemical industry","8"
"Biological evolution","8"
"Vessels","8"
"Folk music","8"
"Energy supply","8"
"Fastfood","8"
"Games of chance","7"
"Body care products","7"
